date,season,home_team,away_team,home_points,away_points,total_points,point_diff,winner,neutral_site,postseason
2002-08-22,2002,Virginia,Colorado State,29,35,64,-6,Colorado State,False,False
2002-08-23,2002,Wisconsin,Fresno State,23,21,44,2,Wisconsin,False,False
2002-08-24,2002,Ohio State,Texas Tech,45,21,66,24,Ohio State,False,False
2002-08-24,2002,NC State,New Mexico,34,14,48,20,NC State,False,False
2002-08-24,2002,Nebraska,Arizona State,48,10,58,38,Nebraska,False,False
2002-08-24,2002,Iowa State,Florida State,31,38,69,-7,Florida State,False,False
2002-08-25,2002,Virginia Tech,Arkansas State,63,7,70,56,Virginia Tech,False,False
2002-08-29,2002,Toledo,Cal Poly SLO,44,16,60,28,Toledo,False,False
2002-08-29,2002,Kent State,New Hampshire,34,7,41,27,Kent State,False,False
2002-08-29,2002,Temple,Richmond,34,7,41,27,Temple,False,False
2002-08-29,2002,USF,Florida Atlantic,51,10,61,41,USF,False,False
2002-08-29,2002,Bowling Green,Tennessee Tech,41,7,48,34,Bowling Green,False,False
2002-08-29,2002,BYU,Syracuse,42,21,63,21,BYU,False,False
2002-08-29,2002,Buffalo,Lehigh,26,37,63,-11,Lehigh,False,False
2002-08-29,2002,Central Michigan,Sam Houston State,34,10,44,24,Central Michigan,False,False
2002-08-29,2002,Western Michigan,Indiana State,48,17,65,31,Western Michigan,False,False
2002-08-29,2002,Northern Illinois,Wake Forest,42,41,83,1,Northern Illinois,False,False
2002-08-29,2002,Oregon State,Eastern Kentucky,49,10,59,39,Oregon State,False,False
2002-08-29,2002,Fresno State,San Diego State,16,14,30,2,Fresno State,False,False
2002-08-30,2002,Tulsa,Oklahoma,0,37,37,-37,Oklahoma,False,False
2002-08-31,2002,Air Force,Northwestern,52,3,55,49,Air Force,False,False
2002-08-31,2002,Boston College,Connecticut,24,16,40,8,Boston College,False,False
2002-08-31,2002,Michigan,Washington,31,29,60,2,Michigan,False,False
2002-08-31,2002,Iowa,Akron,57,21,78,36,Iowa,False,False
2002-08-31,2002,Penn State,UCF,27,24,51,3,Penn State,False,False
2002-08-31,2002,Iowa State,Kansas,45,3,48,42,Iowa State,False,False
2002-08-31,2002,Alabama,Middle Tennessee,39,34,73,5,Alabama,False,False
2002-08-31,2002,Colorado,Colorado State,14,19,33,-5,Colorado State,False,False
2002-08-31,2002,North Carolina,Miami (OH),21,27,48,-6,Miami (OH),False,False
2002-08-31,2002,Purdue,Illinois State,51,10,61,41,Purdue,False,False
2002-08-31,2002,Washington State,Nevada,31,7,38,24,Washington State,False,False
2002-08-31,2002,California,Baylor,70,22,92,48,California,False,False
2002-08-31,2002,Michigan State,Eastern Michigan,56,7,63,49,Michigan State,False,False
2002-08-31,2002,Tulane,Southern,37,19,56,18,Tulane,False,False
2002-08-31,2002,Florida State,Virginia,40,19,59,21,Florida State,False,False
2002-08-31,2002,Illinois,Missouri,20,33,53,-13,Missouri,False,False
2002-08-31,2002,Indiana,William & Mary,25,17,42,8,Indiana,False,False
2002-08-31,2002,Tennessee,Wyoming,47,7,54,40,Tennessee,False,False
2002-08-31,2002,Georgia Tech,Vanderbilt,45,3,48,42,Georgia Tech,False,False
2002-08-31,2002,West Virginia,Chattanooga,56,7,63,49,West Virginia,False,False
2002-08-31,2002,Duke,East Carolina,23,16,39,7,Duke,False,False
2002-08-31,2002,Oregon,Mississippi State,36,13,49,23,Oregon,False,False
2002-08-31,2002,Florida,UAB,51,3,54,48,Florida,False,False
2002-08-31,2002,Texas A&M,UL-Lafayette,31,7,38,24,Texas A&M,False,False
2002-08-31,2002,Southern Miss,Jackson State,55,7,62,48,Southern Miss,False,False
2002-08-31,2002,Pittsburgh,Ohio,27,14,41,13,Pittsburgh,False,False
2002-08-31,2002,Rutgers,Villanova,19,37,56,-18,Villanova,False,False
2002-08-31,2002,Ole Miss,UL-Monroe,31,3,34,28,Ole Miss,False,False
2002-08-31,2002,Minnesota,Texas State,42,0,42,42,Minnesota,False,False
2002-08-31,2002,Miami (FL),Florida A&M,63,17,80,46,Miami (FL),False,False
2002-08-31,2002,Arkansas State,San Jose State,14,33,47,-19,San Jose State,False,False
2002-08-31,2002,NC State,East Tennessee State,34,0,34,34,NC State,False,False
2002-08-31,2002,Nebraska,Troy,31,16,47,15,Nebraska,False,False
2002-08-31,2002,Marshall,Appalachian State,50,17,67,33,Marshall,False,False
2002-08-31,2002,South Carolina,New Mexico State,34,24,58,10,South Carolina,False,False
2002-08-31,2002,Kansas State,Western Kentucky,48,3,51,45,Kansas State,False,False
2002-08-31,2002,Georgia,Clemson,31,28,59,3,Georgia,False,False
2002-08-31,2002,SMU,Navy,7,38,45,-31,Navy,False,False
2002-08-31,2002,Louisiana Tech,Oklahoma State,39,36,75,3,Louisiana Tech,False,False
2002-08-31,2002,Texas,North Texas,27,0,27,27,Texas,False,False
2002-08-31,2002,Rice,Houston,10,24,34,-14,Houston,False,False
2002-08-31,2002,Maryland,Notre Dame,0,22,22,-22,Notre Dame,False,False
2002-08-31,2002,Memphis,Murray State,52,6,58,46,Memphis,False,False
2002-08-31,2002,Boise State,Idaho,38,21,59,17,Boise State,False,False
2002-08-31,2002,New Mexico,Weber State,38,24,62,14,New Mexico,False,False
2002-08-31,2002,UNLV,Wisconsin,7,27,34,-20,Wisconsin,False,False
2002-08-31,2002,Utah State,Utah,3,23,26,-20,Utah,False,False
2002-08-31,2002,UTEP,Sacramento State,42,12,54,30,UTEP,False,False
2002-08-31,2002,Arizona State,Eastern Washington,38,2,40,36,Arizona State,False,False
2002-08-31,2002,Arizona,Northern Arizona,37,3,40,34,Arizona,False,False
2002-08-31,2002,Hawaii,Eastern Illinois,61,36,97,25,Hawaii,False,False
2002-09-01,2002,Virginia Tech,LSU,26,8,34,18,Virginia Tech,False,False
2002-09-01,2002,Louisville,Kentucky,17,22,39,-5,Kentucky,False,False
2002-09-02,2002,Cincinnati,TCU,36,29,65,7,Cincinnati,False,False
2002-09-02,2002,USC,Auburn,24,17,41,7,USC,False,False
2002-09-05,2002,Temple,Oregon State,3,35,38,-32,Oregon State,False,False
2002-09-06,2002,BYU,Hawaii,35,32,67,3,BYU,False,False
2002-09-07,2002,Connecticut,Georgia Tech,14,31,45,-17,Georgia Tech,False,False
2002-09-07,2002,Southern Miss,Illinois,23,20,43,3,Southern Miss,False,False
2002-09-07,2002,Pittsburgh,Texas A&M,12,14,26,-2,Texas A&M,False,False
2002-09-07,2002,Navy,NC State,19,65,84,-46,NC State,False,False
2002-09-07,2002,Miami (OH),Iowa,24,29,53,-5,Iowa,False,False
2002-09-07,2002,Wisconsin,West Virginia,34,17,51,17,Wisconsin,False,False
2002-09-07,2002,Michigan,Western Michigan,35,12,47,23,Michigan,False,False
2002-09-07,2002,Ohio State,Kent State,51,17,68,34,Ohio State,False,False
2002-09-07,2002,Ole Miss,Memphis,38,16,54,22,Ole Miss,False,False
2002-09-07,2002,Northwestern,TCU,24,48,72,-24,TCU,False,False
2002-09-07,2002,Central Michigan,Wyoming,32,20,52,12,Central Michigan,False,False
2002-09-07,2002,Notre Dame,Purdue,24,17,41,7,Notre Dame,False,False
2002-09-07,2002,Army,Holy Cross,21,30,51,-9,Holy Cross,False,False
2002-09-07,2002,Clemson,Louisiana Tech,33,13,46,20,Clemson,False,False
2002-09-07,2002,Michigan State,Rice,27,10,37,17,Michigan State,False,False
2002-09-07,2002,Kentucky,UTEP,77,17,94,60,Kentucky,False,False
2002-09-07,2002,Air Force,New Mexico,38,31,69,7,Air Force,False,False
2002-09-07,2002,Washington,San Jose State,34,10,44,24,Washington,False,False
2002-09-07,2002,Oregon,Fresno State,28,24,52,4,Oregon,False,False
2002-09-07,2002,Boston College,Stanford,34,27,61,7,Boston College,False,False
2002-09-07,2002,Oklahoma,Alabama,37,27,64,10,Oklahoma,False,False
2002-09-07,2002,Washington State,Idaho,49,14,63,35,Washington State,False,False
2002-09-07,2002,Auburn,Western Carolina,56,0,56,56,Auburn,False,False
2002-09-07,2002,Florida,Miami (FL),16,41,57,-25,Miami (FL),False,False
2002-09-07,2002,Maryland,Akron,44,14,58,30,Maryland,False,False
2002-09-07,2002,Eastern Michigan,Toledo,13,65,78,-52,Toledo,False,False
2002-09-07,2002,Wake Forest,East Carolina,27,22,49,5,Wake Forest,False,False
2002-09-07,2002,California,New Mexico State,34,13,47,21,California,False,False
2002-09-07,2002,Baylor,Samford,50,12,62,38,Baylor,False,False
2002-09-07,2002,Vanderbilt,Furman,49,18,67,31,Vanderbilt,False,False
2002-09-07,2002,Rutgers,Buffalo,11,34,45,-23,Buffalo,False,False
2002-09-07,2002,Duke,Louisville,3,40,43,-37,Louisville,False,False
2002-09-07,2002,Missouri,Ball State,41,6,47,35,Missouri,False,False
2002-09-07,2002,Iowa State,Tennessee Tech,58,6,64,52,Iowa State,False,False
2002-09-07,2002,USF,Northern Illinois,37,6,43,31,USF,False,False
2002-09-07,2002,UAB,Troy,27,26,53,1,UAB,False,False
2002-09-07,2002,Arkansas State,Tulsa,21,19,40,2,Arkansas State,False,False
2002-09-07,2002,Tennessee,Middle Tennessee,26,3,29,23,Tennessee,False,False
2002-09-07,2002,Nebraska,Utah State,44,13,57,31,Nebraska,False,False
2002-09-07,2002,Colorado,San Diego State,34,14,48,20,Colorado,False,False
2002-09-07,2002,Arkansas,Boise State,41,14,55,27,Arkansas,False,False
2002-09-07,2002,Oklahoma State,Northern Iowa,45,10,55,35,Oklahoma State,False,False
2002-09-07,2002,Kansas State,UL-Monroe,68,0,68,68,Kansas State,False,False
2002-09-07,2002,Virginia,South Carolina,34,21,55,13,Virginia,False,False
2002-09-07,2002,SMU,Texas Tech,14,24,38,-10,Texas Tech,False,False
2002-09-07,2002,UL-Lafayette,Minnesota,11,35,46,-24,Minnesota,False,False
2002-09-07,2002,Utah,Indiana,40,13,53,27,Utah,False,False
2002-09-07,2002,Ohio,Northeastern,0,31,31,-31,Northeastern,False,False
2002-09-07,2002,LSU,Citadel,35,10,45,25,LSU,False,False
2002-09-07,2002,Syracuse,North Carolina,22,30,52,-8,North Carolina,False,False
2002-09-07,2002,Houston,Tulane,13,34,47,-21,Tulane,False,False
2002-09-07,2002,North Texas,Nicholls State,23,0,23,23,North Texas,False,False
2002-09-07,2002,Arizona State,UCF,46,13,59,33,Arizona State,False,False
2002-09-07,2002,UNLV,Kansas,31,20,51,11,UNLV,False,False
2002-09-07,2002,UCLA,Colorado State,30,19,49,11,UCLA,False,False
2002-09-12,2002,Virginia Tech,Marshall,47,21,68,26,Virginia Tech,False,False
2002-09-14,2002,Illinois,Arkansas State,59,7,66,52,Illinois,False,False
2002-09-14,2002,Clemson,Georgia Tech,24,19,43,5,Clemson,False,False
2002-09-14,2002,Temple,Miami (FL),21,44,65,-23,Miami (FL),False,False
2002-09-14,2002,Wisconsin,Northern Illinois,24,21,45,3,Wisconsin,False,False
2002-09-14,2002,Michigan State,California,22,46,68,-24,California,False,False
2002-09-14,2002,Auburn,Vanderbilt,31,6,37,25,Auburn,False,False
2002-09-14,2002,Northwestern,Duke,26,21,47,5,Northwestern,False,False
2002-09-14,2002,Louisiana Tech,Tulsa,53,9,62,44,Louisiana Tech,False,False
2002-09-14,2002,Purdue,Western Michigan,28,24,52,4,Purdue,False,False
2002-09-14,2002,Kent State,Cal Poly SLO,37,34,71,3,Kent State,False,False
2002-09-14,2002,Ball State,Indiana State,23,21,44,2,Ball State,False,False
2002-09-14,2002,Kansas State,Eastern Illinois,63,13,76,50,Kansas State,False,False
2002-09-14,2002,Notre Dame,Michigan,25,23,48,2,Notre Dame,False,False
2002-09-14,2002,Minnesota,Toledo,31,21,52,10,Minnesota,False,False
2002-09-14,2002,Syracuse,Rhode Island,63,17,80,46,Syracuse,False,False
2002-09-14,2002,Texas Tech,Ole Miss,42,28,70,14,Texas Tech,False,False
2002-09-14,2002,Colorado,USC,3,40,43,-37,USC,False,False
2002-09-14,2002,Oregon,Idaho,58,21,79,37,Oregon,False,False
2002-09-14,2002,South Carolina,Georgia,7,13,20,-6,Georgia,False,False
2002-09-14,2002,Ohio State,Washington State,25,7,32,18,Ohio State,False,False
2002-09-14,2002,Wyoming,Boise State,13,35,48,-22,Boise State,False,False
2002-09-14,2002,Nevada,BYU,31,28,59,3,Nevada,False,False
2002-09-14,2002,Eastern Michigan,SE Missouri State,35,32,67,3,Eastern Michigan,False,False
2002-09-14,2002,Florida,Ohio,34,6,40,28,Florida,False,False
2002-09-14,2002,Akron,Central Michigan,17,24,41,-7,Central Michigan,False,False
2002-09-14,2002,Bowling Green,Missouri,51,28,79,23,Bowling Green,False,False
2002-09-14,2002,Iowa,Iowa State,31,36,67,-5,Iowa State,False,False
2002-09-14,2002,NC State,Wake Forest,32,13,45,19,NC State,False,False
2002-09-14,2002,Alabama,North Texas,33,7,40,26,Alabama,False,False
2002-09-14,2002,Mississippi State,Jacksonville State,51,13,64,38,Mississippi State,False,False
2002-09-14,2002,Kansas,Missouri State,44,24,68,20,Kansas,False,False
2002-09-14,2002,Oregon State,UNLV,47,17,64,30,Oregon State,False,False
2002-09-14,2002,UL-Monroe,McNeese State,19,24,43,-5,McNeese State,False,False
2002-09-14,2002,Southern Miss,Memphis,33,14,47,19,Southern Miss,False,False
2002-09-14,2002,TCU,SMU,17,6,23,11,TCU,False,False
2002-09-14,2002,Troy,Southern Utah,40,15,55,25,Troy,False,False
2002-09-14,2002,Cincinnati,West Virginia,32,35,67,-3,West Virginia,False,False
2002-09-14,2002,Rutgers,Army,44,0,44,44,Rutgers,False,False
2002-09-14,2002,UAB,Pittsburgh,20,26,46,-6,Pittsburgh,False,False
2002-09-14,2002,Kentucky,Indiana,27,17,44,10,Kentucky,False,False
2002-09-14,2002,Arkansas,USF,42,3,45,39,Arkansas,False,False
2002-09-14,2002,Oklahoma,UTEP,68,0,68,68,Oklahoma,False,False
2002-09-14,2002,Oklahoma State,UCLA,24,38,62,-14,UCLA,False,False
2002-09-14,2002,East Carolina,Tulane,24,20,44,4,East Carolina,False,False
2002-09-14,2002,Buffalo,Connecticut,3,24,27,-21,Connecticut,False,False
2002-09-14,2002,Maryland,Florida State,10,37,47,-27,Florida State,False,False
2002-09-14,2002,LSU,Miami (OH),33,7,40,26,LSU,False,False
2002-09-14,2002,North Carolina,Texas,21,52,73,-31,Texas,False,False
2002-09-14,2002,Penn State,Nebraska,40,7,47,33,Penn State,False,False
2002-09-14,2002,Houston,UL-Lafayette,36,17,53,19,Houston,False,False
2002-09-14,2002,New Mexico,Baylor,23,0,23,23,New Mexico,False,False
2002-09-14,2002,Utah State,Idaho State,38,33,71,5,Utah State,False,False
2002-09-14,2002,Colorado State,Louisville,36,33,69,3,Colorado State,False,False
2002-09-14,2002,Arizona,Utah,23,17,40,6,Arizona,False,False
2002-09-14,2002,Stanford,San Jose State,63,26,89,37,Stanford,False,False
2002-09-14,2002,San Diego State,Arizona State,28,39,67,-11,Arizona State,False,False
2002-09-19,2002,Mississippi State,Auburn,14,42,56,-28,Auburn,False,False
2002-09-20,2002,Marshall,UCF,26,21,47,5,Marshall,False,False
2002-09-21,2002,Pittsburgh,Rutgers,23,3,26,20,Pittsburgh,False,False
2002-09-21,2002,Connecticut,Ohio,37,19,56,18,Connecticut,False,False
2002-09-21,2002,Navy,Northwestern,40,49,89,-9,Northwestern,False,False
2002-09-21,2002,Wisconsin,Arizona,31,10,41,21,Wisconsin,False,False
2002-09-21,2002,Michigan,Utah,10,7,17,3,Michigan,False,False
2002-09-21,2002,Penn State,Louisiana Tech,49,17,66,32,Penn State,False,False
2002-09-21,2002,Ole Miss,Vanderbilt,45,38,83,7,Ole Miss,False,False
2002-09-21,2002,Texas Tech,NC State,48,51,99,-3,NC State,False,False
2002-09-21,2002,Army,Louisville,14,45,59,-31,Louisville,False,False
2002-09-21,2002,Clemson,Ball State,30,7,37,23,Clemson,False,False
2002-09-21,2002,Georgia,Northwestern State,45,7,52,38,Georgia,False,False
2002-09-21,2002,Kentucky,Middle Tennessee,44,22,66,22,Kentucky,False,False
2002-09-21,2002,Miami (OH),Kent State,27,20,47,7,Miami (OH),False,False
2002-09-21,2002,Purdue,Wake Forest,21,24,45,-3,Wake Forest,False,False
2002-09-21,2002,Illinois,San Jose State,35,38,73,-3,San Jose State,False,False
2002-09-21,2002,Minnesota,Buffalo,41,17,58,24,Minnesota,False,False
2002-09-21,2002,Virginia,Akron,48,29,77,19,Virginia,False,False
2002-09-21,2002,UCLA,Colorado,17,31,48,-14,Colorado,False,False
2002-09-21,2002,Georgia Tech,BYU,28,19,47,9,Georgia Tech,False,False
2002-09-21,2002,Michigan State,Notre Dame,17,21,38,-4,Notre Dame,False,False
2002-09-21,2002,Oregon,Portland State,41,0,41,41,Oregon,False,False
2002-09-21,2002,Texas A&M,Virginia Tech,3,13,16,-10,Virginia Tech,False,False
2002-09-21,2002,Cincinnati,Ohio State,19,23,42,-4,Ohio State,False,False
2002-09-21,2002,Iowa,Utah State,48,7,55,41,Iowa,False,False
2002-09-21,2002,Tennessee,Florida,13,30,43,-17,Florida,False,False
2002-09-21,2002,Nevada,Rice,31,21,52,10,Nevada,False,False
2002-09-21,2002,California,Air Force,21,23,44,-2,Air Force,False,False
2002-09-21,2002,Washington State,Montana State,45,28,73,17,Washington State,False,False
2002-09-21,2002,Indiana,Central Michigan,39,29,68,10,Indiana,False,False
2002-09-21,2002,Idaho,San Diego State,48,38,86,10,Idaho,False,False
2002-09-21,2002,Maryland,Eastern Michigan,45,3,48,42,Maryland,False,False
2002-09-21,2002,Oregon State,Fresno State,59,19,78,40,Oregon State,False,False
2002-09-21,2002,South Carolina,Temple,42,21,63,21,South Carolina,False,False
2002-09-21,2002,Kansas,Bowling Green,16,39,55,-23,Bowling Green,False,False
2002-09-21,2002,UL-Lafayette,UAB,34,0,34,34,UL-Lafayette,False,False
2002-09-21,2002,TCU,North Texas,16,10,26,6,TCU,False,False
2002-09-21,2002,Toledo,UNLV,38,21,59,17,Toledo,False,False
2002-09-21,2002,Alabama,Southern Miss,20,7,27,13,Alabama,False,False
2002-09-21,2002,UL-Monroe,Arkansas State,21,33,54,-12,Arkansas State,False,False
2002-09-21,2002,Oklahoma State,SMU,52,16,68,36,Oklahoma State,False,False
2002-09-21,2002,Florida State,Duke,48,17,65,31,Florida State,False,False
2002-09-21,2002,Kansas State,USC,27,20,47,7,Kansas State,False,False
2002-09-21,2002,Baylor,Tulsa,37,25,62,12,Baylor,False,False
2002-09-21,2002,Iowa State,Troy,42,12,54,30,Iowa State,False,False
2002-09-21,2002,Northern Illinois,Western Illinois,26,29,55,-3,Western Illinois,False,False
2002-09-21,2002,Miami (FL),Boston College,38,6,44,32,Miami (FL),False,False
2002-09-21,2002,Texas,Houston,41,11,52,30,Texas,False,False
2002-09-21,2002,New Mexico State,New Mexico,24,13,37,11,New Mexico State,False,False
2002-09-21,2002,Memphis,Tulane,38,10,48,28,Memphis,False,False
2002-09-21,2002,UTEP,Hawaii,6,31,37,-25,Hawaii,False,False
2002-09-21,2002,Washington,Wyoming,38,7,45,31,Washington,False,False
2002-09-26,2002,Louisville,Florida State,26,20,46,6,Louisville,False,False
2002-09-27,2002,New Mexico,Texas Tech,0,49,49,-49,Texas Tech,False,False
2002-09-28,2002,Western Michigan,Virginia Tech,0,30,30,-30,Virginia Tech,False,False
2002-09-28,2002,Navy,Duke,17,43,60,-26,Duke,False,False
2002-09-28,2002,West Virginia,East Carolina,37,17,54,20,West Virginia,False,False
2002-09-28,2002,Temple,Cincinnati,22,35,57,-13,Cincinnati,False,False
2002-09-28,2002,Boston College,Central Michigan,43,0,43,43,Boston College,False,False
2002-09-28,2002,Penn State,Iowa,35,42,77,-7,Iowa,False,False
2002-09-28,2002,Ohio State,Indiana,45,17,62,28,Ohio State,False,False
2002-09-28,2002,LSU,Mississippi State,31,13,44,18,LSU,False,False
2002-09-28,2002,Army,Southern Miss,6,27,33,-21,Southern Miss,False,False
2002-09-28,2002,Connecticut,Ball State,21,24,45,-3,Ball State,False,False
2002-09-28,2002,NC State,Massachusetts,56,24,80,32,NC State,False,False
2002-09-28,2002,Georgia,New Mexico State,41,10,51,31,Georgia,False,False
2002-09-28,2002,Michigan State,Northwestern,39,24,63,15,Michigan State,False,False
2002-09-28,2002,Pittsburgh,Toledo,37,19,56,18,Pittsburgh,False,False
2002-09-28,2002,Missouri,Troy,44,7,51,37,Missouri,False,False
2002-09-28,2002,San Diego State,UCLA,7,43,50,-36,UCLA,False,False
2002-09-28,2002,Northern Illinois,Kent State,13,6,19,7,Northern Illinois,False,False
2002-09-28,2002,Utah,Air Force,26,30,56,-4,Air Force,False,False
2002-09-28,2002,Illinois,Michigan,28,45,73,-17,Michigan,False,False
2002-09-28,2002,Washington,Idaho,41,27,68,14,Washington,False,False
2002-09-28,2002,Arizona State,Stanford,65,24,89,41,Arizona State,False,False
2002-09-28,2002,North Carolina,Georgia Tech,13,21,34,-8,Georgia Tech,False,False
2002-09-28,2002,Iowa State,Nebraska,36,14,50,22,Iowa State,False,False
2002-09-28,2002,Tulane,Texas,0,49,49,-49,Texas,False,False
2002-09-28,2002,Florida,Kentucky,41,34,75,7,Florida,False,False
2002-09-28,2002,Nevada,Colorado State,28,32,60,-4,Colorado State,False,False
2002-09-28,2002,California,Washington State,38,48,86,-10,Washington State,False,False
2002-09-28,2002,Akron,Miami (OH),31,48,79,-17,Miami (OH),False,False
2002-09-28,2002,UCF,Liberty,48,17,65,31,UCF,False,False
2002-09-28,2002,Eastern Michigan,Southern Illinois,48,45,93,3,Eastern Michigan,False,False
2002-09-28,2002,Purdue,Minnesota,28,15,43,13,Purdue,False,False
2002-09-28,2002,Maryland,Wofford,37,8,45,29,Maryland,False,False
2002-09-28,2002,USC,Oregon State,22,0,22,22,USC,False,False
2002-09-28,2002,Wake Forest,Virginia,34,38,72,-4,Virginia,False,False
2002-09-28,2002,Texas A&M,Louisiana Tech,31,3,34,28,Texas A&M,False,False
2002-09-28,2002,Arkansas State,Tennessee-Martin,30,10,40,20,Arkansas State,False,False
2002-09-28,2002,Vanderbilt,South Carolina,14,20,34,-6,South Carolina,False,False
2002-09-28,2002,Tulsa,Kansas,33,43,76,-10,Kansas,False,False
2002-09-28,2002,Middle Tennessee,SE Missouri State,14,24,38,-10,SE Missouri State,False,False
2002-09-28,2002,UAB,Memphis,31,17,48,14,UAB,False,False
2002-09-28,2002,Oklahoma,USF,31,14,45,17,Oklahoma,False,False
2002-09-28,2002,Tennessee,Rutgers,35,14,49,21,Tennessee,False,False
2002-09-28,2002,Ohio,Buffalo,34,32,66,2,Ohio,False,False
2002-09-28,2002,Arkansas,Alabama,12,30,42,-18,Alabama,False,False
2002-09-28,2002,Rice,Fresno State,28,31,59,-3,Fresno State,False,False
2002-09-28,2002,Boise State,Utah State,63,38,101,25,Boise State,False,False
2002-09-28,2002,Auburn,Syracuse,37,34,71,3,Auburn,False,False
2002-09-28,2002,Arizona,North Texas,14,9,23,5,Arizona,False,False
2002-09-28,2002,San Jose State,UTEP,58,24,82,34,San Jose State,False,False
2002-09-28,2002,Hawaii,SMU,42,10,52,32,Hawaii,False,False
2002-10-03,2002,Florida State,Clemson,48,31,79,17,Florida State,False,False
2002-10-03,2002,Minnesota,Illinois,31,10,41,21,Minnesota,False,False
2002-10-04,2002,Fresno State,Colorado State,32,30,62,2,Fresno State,False,False
2002-10-04,2002,Utah State,BYU,34,35,69,-1,BYU,False,False
2002-10-05,2002,West Virginia,Maryland,17,48,65,-31,Maryland,False,False
2002-10-05,2002,Ole Miss,Florida,17,14,31,3,Ole Miss,False,False
2002-10-05,2002,Syracuse,Pittsburgh,24,48,72,-24,Pittsburgh,False,False
2002-10-05,2002,Duke,Virginia,22,27,49,-5,Virginia,False,False
2002-10-05,2002,Iowa,Purdue,31,28,59,3,Iowa,False,False
2002-10-05,2002,Nebraska,McNeese State,38,14,52,24,Nebraska,False,False
2002-10-05,2002,Texas,Oklahoma State,17,15,32,2,Texas,False,False
2002-10-05,2002,Cincinnati,Miami (OH),26,31,57,-5,Miami (OH),False,False
2002-10-05,2002,South Carolina,Mississippi State,34,10,44,24,South Carolina,False,False
2002-10-05,2002,Buffalo,Western Michigan,17,31,48,-14,Western Michigan,False,False
2002-10-05,2002,East Carolina,Army,59,24,83,35,East Carolina,False,False
2002-10-05,2002,Ball State,Northern Illinois,29,41,70,-12,Northern Illinois,False,False
2002-10-05,2002,Kent State,Marshall,21,42,63,-21,Marshall,False,False
2002-10-05,2002,Texas A&M,Texas Tech,47,48,95,-1,Texas Tech,False,False
2002-10-05,2002,Baylor,Kansas,35,32,67,3,Baylor,False,False
2002-10-05,2002,Notre Dame,Stanford,31,7,38,24,Notre Dame,False,False
2002-10-05,2002,Air Force,Navy,48,7,55,41,Air Force,False,False
2002-10-05,2002,SMU,San Jose State,23,34,57,-11,San Jose State,False,False
2002-10-05,2002,TCU,Houston,34,17,51,17,TCU,False,False
2002-10-05,2002,Wyoming,Citadel,34,30,64,4,Wyoming,False,False
2002-10-05,2002,Idaho,Montana,31,38,69,-7,Montana,False,False
2002-10-05,2002,Wisconsin,Penn State,31,34,65,-3,Penn State,False,False
2002-10-05,2002,Colorado,Kansas State,35,31,66,4,Colorado,False,False
2002-10-05,2002,Washington,California,27,34,61,-7,California,False,False
2002-10-05,2002,Alabama,Georgia,25,27,52,-2,Georgia,False,False
2002-10-05,2002,Oregon State,UCLA,35,43,78,-8,UCLA,False,False
2002-10-05,2002,Georgia Tech,Wake Forest,21,24,45,-3,Wake Forest,False,False
2002-10-05,2002,Bowling Green,Ohio,72,21,93,51,Bowling Green,False,False
2002-10-05,2002,Arkansas State,Middle Tennessee,13,7,20,6,Arkansas State,False,False
2002-10-05,2002,Eastern Michigan,Akron,42,34,76,8,Eastern Michigan,False,False
2002-10-05,2002,Missouri,Oklahoma,24,31,55,-7,Oklahoma,False,False
2002-10-05,2002,Miami (FL),Connecticut,48,14,62,34,Miami (FL),False,False
2002-10-05,2002,UL-Monroe,Tulane,9,52,61,-43,Tulane,False,False
2002-10-05,2002,Troy,Austin Peay,41,3,44,38,Troy,False,False
2002-10-05,2002,Washington State,USC,30,27,57,3,Washington State,False,False
2002-10-05,2002,Northwestern,Ohio State,16,27,43,-11,Ohio State,False,False
2002-10-05,2002,Tennessee,Arkansas,41,38,79,3,Tennessee,False,False
2002-10-05,2002,New Mexico State,UTEP,49,14,63,35,New Mexico State,False,False
2002-10-05,2002,Rice,Louisiana Tech,37,20,57,17,Rice,False,False
2002-10-05,2002,LSU,UL-Lafayette,48,0,48,48,LSU,False,False
2002-10-05,2002,Boise State,Hawaii,58,31,89,27,Boise State,False,False
2002-10-05,2002,North Texas,USF,17,24,41,-7,USF,False,False
2002-10-05,2002,Arizona,Oregon,14,31,45,-17,Oregon,False,False
2002-10-05,2002,Arizona State,North Carolina,35,38,73,-3,North Carolina,False,False
2002-10-05,2002,UNLV,Nevada,21,17,38,4,UNLV,False,False
2002-10-08,2002,Memphis,Louisville,32,38,70,-6,Louisville,False,False
2002-10-10,2002,Boston College,Virginia Tech,23,28,51,-5,Virginia Tech,False,False
2002-10-10,2002,Minnesota,Northwestern,45,42,87,3,Minnesota,False,False
2002-10-12,2002,Miami (FL),Florida State,28,27,55,1,Miami (FL),False,False
2002-10-12,2002,Navy,Rice,10,17,27,-7,Rice,False,False
2002-10-12,2002,Virginia,Clemson,22,17,39,5,Virginia,False,False
2002-10-12,2002,Temple,Syracuse,17,16,33,1,Temple,False,False
2002-10-12,2002,North Carolina,NC State,17,34,51,-17,NC State,False,False
2002-10-12,2002,Iowa,Michigan State,44,16,60,28,Iowa,False,False
2002-10-12,2002,Ohio State,San Jose State,50,7,57,43,Ohio State,False,False
2002-10-12,2002,Indiana,Wisconsin,32,29,61,3,Indiana,False,False
